Category,Picture,S3URL
airplanes,1,https://s3.amazonaws.com/15-319-s13/img-dataset/00001.jpg
airplanes,2,https://s3.amazonaws.com/15-319-s13/img-dataset/00002.jpg
airplanes,3,https://s3.amazonaws.com/15-319-s13/img-dataset/00003.jpg
airplanes,4,https://s3.amazonaws.com/15-319-s13/img-dataset/00004.jpg
airplanes,5,https://s3.amazonaws.com/15-319-s13/img-dataset/00005.jpg
airplanes,6,https://s3.amazonaws.com/15-319-s13/img-dataset/00006.jpg
airplanes,7,https://s3.amazonaws.com/15-319-s13/img-dataset/00007.jpg
airplanes,8,https://s3.amazonaws.com/15-319-s13/img-dataset/00008.jpg
airplanes,9,https://s3.amazonaws.com/15-319-s13/img-dataset/00009.jpg
airplanes,10,https://s3.amazonaws.com/15-319-s13/img-dataset/00010.jpg
airplanes,11,https://s3.amazonaws.com/15-319-s13/img-dataset/00011.jpg
airplanes,12,https://s3.amazonaws.com/15-319-s13/img-dataset/00012.jpg
airplanes,13,https://s3.amazonaws.com/15-319-s13/img-dataset/00013.jpg
airplanes,14,https://s3.amazonaws.com/15-319-s13/img-dataset/00014.jpg
airplanes,15,https://s3.amazonaws.com/15-319-s13/img-dataset/00015.jpg
airplanes,16,https://s3.amazonaws.com/15-319-s13/img-dataset/00016.jpg
airplanes,17,https://s3.amazonaws.com/15-319-s13/img-dataset/00017.jpg
airplanes,18,https://s3.amazonaws.com/15-319-s13/img-dataset/00018.jpg
airplanes,19,https://s3.amazonaws.com/15-319-s13/img-dataset/00019.jpg
airplanes,20,https://s3.amazonaws.com/15-319-s13/img-dataset/00020.jpg
airplanes,21,https://s3.amazonaws.com/15-319-s13/img-dataset/00021.jpg
airplanes,22,https://s3.amazonaws.com/15-319-s13/img-dataset/00022.jpg
airplanes,23,https://s3.amazonaws.com/15-319-s13/img-dataset/00023.jpg
airplanes,24,https://s3.amazonaws.com/15-319-s13/img-dataset/00024.jpg
airplanes,25,https://s3.amazonaws.com/15-319-s13/img-dataset/00025.jpg
airplanes,26,https://s3.amazonaws.com/15-319-s13/img-dataset/00026.jpg
airplanes,27,https://s3.amazonaws.com/15-319-s13/img-dataset/00027.jpg
airplanes,28,https://s3.amazonaws.com/15-319-s13/img-dataset/00028.jpg
airplanes,29,https://s3.amazonaws.com/15-319-s13/img-dataset/00029.jpg
airplanes,30,https://s3.amazonaws.com/15-319-s13/img-dataset/00030.jpg
airplanes,31,https://s3.amazonaws.com/15-319-s13/img-dataset/00031.jpg
airplanes,32,https://s3.amazonaws.com/15-319-s13/img-dataset/00032.jpg
airplanes,33,https://s3.amazonaws.com/15-319-s13/img-dataset/00033.jpg
airplanes,34,https://s3.amazonaws.com/15-319-s13/img-dataset/00034.jpg
airplanes,35,https://s3.amazonaws.com/15-319-s13/img-dataset/00035.jpg
airplanes,36,https://s3.amazonaws.com/15-319-s13/img-dataset/00036.jpg
airplanes,37,https://s3.amazonaws.com/15-319-s13/img-dataset/00037.jpg
airplanes,38,https://s3.amazonaws.com/15-319-s13/img-dataset/00038.jpg
airplanes,39,https://s3.amazonaws.com/15-319-s13/img-dataset/00039.jpg
airplanes,40,https://s3.amazonaws.com/15-319-s13/img-dataset/00040.jpg
airplanes,41,https://s3.amazonaws.com/15-319-s13/img-dataset/00041.jpg
airplanes,42,https://s3.amazonaws.com/15-319-s13/img-dataset/00042.jpg
airplanes,43,https://s3.amazonaws.com/15-319-s13/img-dataset/00043.jpg
airplanes,44,https://s3.amazonaws.com/15-319-s13/img-dataset/00044.jpg
airplanes,45,https://s3.amazonaws.com/15-319-s13/img-dataset/00045.jpg
airplanes,46,https://s3.amazonaws.com/15-319-s13/img-dataset/00046.jpg
airplanes,47,https://s3.amazonaws.com/15-319-s13/img-dataset/00047.jpg
airplanes,48,https://s3.amazonaws.com/15-319-s13/img-dataset/00048.jpg
airplanes,49,https://s3.amazonaws.com/15-319-s13/img-dataset/00049.jpg
airplanes,50,https://s3.amazonaws.com/15-319-s13/img-dataset/00050.jpg
airplanes,51,https://s3.amazonaws.com/15-319-s13/img-dataset/00051.jpg
airplanes,52,https://s3.amazonaws.com/15-319-s13/img-dataset/00052.jpg
airplanes,53,https://s3.amazonaws.com/15-319-s13/img-dataset/00053.jpg
airplanes,54,https://s3.amazonaws.com/15-319-s13/img-dataset/00054.jpg
airplanes,55,https://s3.amazonaws.com/15-319-s13/img-dataset/00055.jpg
airplanes,56,https://s3.amazonaws.com/15-319-s13/img-dataset/00056.jpg
airplanes,57,https://s3.amazonaws.com/15-319-s13/img-dataset/00057.jpg
airplanes,58,https://s3.amazonaws.com/15-319-s13/img-dataset/00058.jpg
airplanes,59,https://s3.amazonaws.com/15-319-s13/img-dataset/00059.jpg
airplanes,60,https://s3.amazonaws.com/15-319-s13/img-dataset/00060.jpg
airplanes,61,https://s3.amazonaws.com/15-319-s13/img-dataset/00061.jpg
airplanes,62,https://s3.amazonaws.com/15-319-s13/img-dataset/00062.jpg
airplanes,63,https://s3.amazonaws.com/15-319-s13/img-dataset/00063.jpg
airplanes,64,https://s3.amazonaws.com/15-319-s13/img-dataset/00064.jpg
airplanes,65,https://s3.amazonaws.com/15-319-s13/img-dataset/00065.jpg
airplanes,66,https://s3.amazonaws.com/15-319-s13/img-dataset/00066.jpg
airplanes,67,https://s3.amazonaws.com/15-319-s13/img-dataset/00067.jpg
airplanes,68,https://s3.amazonaws.com/15-319-s13/img-dataset/00068.jpg
airplanes,69,https://s3.amazonaws.com/15-319-s13/img-dataset/00069.jpg
airplanes,70,https://s3.amazonaws.com/15-319-s13/img-dataset/00070.jpg
airplanes,71,https://s3.amazonaws.com/15-319-s13/img-dataset/00071.jpg
airplanes,72,https://s3.amazonaws.com/15-319-s13/img-dataset/00072.jpg
airplanes,73,https://s3.amazonaws.com/15-319-s13/img-dataset/00073.jpg
airplanes,74,https://s3.amazonaws.com/15-319-s13/img-dataset/00074.jpg
airplanes,75,https://s3.amazonaws.com/15-319-s13/img-dataset/00075.jpg
airplanes,76,https://s3.amazonaws.com/15-319-s13/img-dataset/00076.jpg
airplanes,77,https://s3.amazonaws.com/15-319-s13/img-dataset/00077.jpg
airplanes,78,https://s3.amazonaws.com/15-319-s13/img-dataset/00078.jpg
airplanes,79,https://s3.amazonaws.com/15-319-s13/img-dataset/00079.jpg
